User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
2,2541458,0.59,5.21,0.00,0.00
1,2136759,0.61,4.19,0.00,0.00
0,2465366,0.26,9.07,0.00,0.00
0,2151438,0.05,10.21,0.00,0.00
0,802538,0.34,2.64,0.00,0.00
0,2306662,0.26,8.49,0.00,0.00
1,2485007,0.39,7.55,0.00,0.00
2,2588346,0.33,8.70,0.00,0.00
1,2413185,0.14,10.33,0.00,0.00
1,2462896,0.32,8.33,0.00,0.00
0,2303740,0.54,5.30,0.00,0.00
2,2202089,0.93,2.48,0.00,0.00
1,2182996,0.58,4.61,0.00,0.00
1,2162067,0.49,5.54,0.00,0.00
2,2205681,0.32,7.55,0.00,0.00
2,2408138,0.56,5.35,0.00,0.00
2,2464218,0.96,2.21,0.00,0.00
1,2193563,0.55,4.98,0.00,0.00
1,2364741,0.30,8.33,0.00,0.00
0,2386204,0.46,6.40,0.00,0.00
2,2432289,0.79,2.55,0.00,0.00
1,2587364,0.57,5.56,0.00,0.00
0,2562130,0.07,11.97,0.00,0.00
1,2209503,0.86,2.25,0.00,0.00
1,2166913,0.84,2.15,0.00,0.00
0,2311067,0.08,10.63,0.00,0.00
2,2441560,0.18,9.98,0.00,0.00
2,2378470,0.06,11.17,0.00,0.00
0,2353128,0.96,2.14,0.00,0.00
0,2153529,0.27,7.88,0.00,0.00
2,2246320,0.65,3.95,0.00,0.00
1,2465256,0.25,9.21,0.00,0.00
1,2208705,0.05,10.45,0.00,0.00
0,2218777,0.53,5.20,0.00,0.00
1,2204747,0.37,6.92,0.00,0.00
2,2267990,0.76,2.77,0.00,0.00
2,2620924,0.22,10.17,0.00,0.00
0,2476570,0.15,10.54,0.00,0.00
0,2542229,0.57,5.44,0.00,0.00
2,2540099,0.19,10.31,0.00,0.00
0,2526371,0.83,2.19,0.00,0.00
2,2263950,0.18,9.25,0.00,0.00
2,2598743,0.68,4.16,0.00,0.00
2,2452332,0.33,8.17,0.00,0.00
0,2566616,0.70,3.79,0.00,0.00
0,2421132,0.80,2.43,0.00,0.00
3,2113123,0.12,9.31,0.00,0.00
2,2288248,0.87,1.88,0.00,0.00
1,2290918,0.58,4.85,0.00,0.00
2,2534937,0.19,10.30,0.00,0.00
0,2303548,0.64,4.20,0.00,0.00
0,2389908,0.91,2.62,0.00,0.00
2,2581431,1.00,2.45,0.00,0.00
1,2097683,1.00,1.98,0.00,0.00
0,2611773,0.86,2.13,0.00,0.00
0,2195423,0.22,8.55,0.00,0.00
0,2588278,0.14,11.07,0.00,0.00
1,2615264,0.61,5.07,0.00,0.00
2,2309503,0.71,3.37,0.00,0.00
2,2139829,0.34,7.01,0.00,0.00
1,2369257,0.67,3.89,0.00,0.00
0,2301233,0.00,11.51,0.00,0.00
0,2313292,0.17,9.64,0.00,0.00
0,2344818,0.91,2.60,0.00,0.00
2,2477146,0.87,2.03,0.00,0.00
0,2329200,0.92,2.58,0.00,0.00
0,2406726,0.27,8.80,0.00,0.00
0,2591200,0.68,4.16,0.00,0.00
0,2206119,0.58,4.59,0.00,0.00
0,2290805,0.14,9.82,0.00,0.00
1,2421302,0.65,4.28,0.00,0.00
1,2199778,1.00,2.08,0.00,0.00
0,2466903,0.38,7.63,0.00,0.00
2,2302176,0.59,4.76,0.00,0.00
2,2205731,0.47,5.85,0.00,0.00
2,2284511,0.07,10.60,0.00,0.00
1,2322785,0.17,9.61,0.00,0.00
0,264272,0.37,0.83,0.00,0.00
1,2308253,0.74,2.97,0.00,0.00
0,2281507,0.26,8.41,0.00,0.00
0,2461298,0.43,6.97,0.00,0.00
1,2539156,0.85,2.56,0.00,0.00
1,2342911,0.54,5.45,0.00,0.00
1,2434655,0.26,9.03,0.00,0.00
0,2386422,0.51,5.82,0.00,0.00
1,2313164,0.64,4.12,0.00,0.00
2,2102469,0.25,7.92,0.00,0.00
1,2572979,0.73,3.41,0.00,0.00
3,2476819,0.96,2.87,0.00,0.00
2,2286734,0.28,8.28,0.00,0.00
2,2173286,0.64,3.95,0.00,0.00
1,2182695,0.56,4.83,0.00,0.00
2,2102979,0.74,2.76,0.00,0.00
0,2530501,0.76,3.10,0.00,0.00
0,2313564,0.91,1.99,0.00,0.00
0,2318706,0.67,3.83,0.00,0.00
1,2143360,0.07,9.93,0.00,0.00
0,2370238,0.51,5.81,0.00,0.00
2,2513026,0.39,7.70,0.00,0.00
2,2539264,0.51,6.18,0.00,0.00
1,2319737,0.40,6.96,0.00,0.00
0,2194210,0.74,2.85,0.00,0.00
1,2540149,0.19,10.26,0.00,0.00
1,2548487,0.70,3.78,0.00,0.00
1,2471678,0.99,2.31,0.00,0.00
1,2569959,0.72,3.60,0.00,0.00
2,2294352,0.63,4.29,0.00,0.00
0,2456364,0.54,5.67,0.00,0.00
2,2349649,1.00,2.75,0.00,0.00
1,2484285,0.93,2.75,0.00,0.00
1,2463297,0.31,8.49,0.00,0.00
2,2415578,0.68,3.86,0.00,0.00
0,2509011,0.96,2.28,0.00,0.00
0,2377233,1.00,2.24,0.00,0.00
1,2125399,0.13,9.23,0.00,0.00
0,2212751,1.00,2.08,0.00,0.00
1,2354651,0.48,6.12,0.00,0.00
0,2484391,1.00,3.00,0.00,0.00
1,2150934,0.14,9.22,0.00,0.00
2,2450470,0.82,2.34,0.00,0.00
1,2164361,0.99,2.02,0.00,0.00
0,2496883,0.59,5.09,0.00,0.00
0,729785,0.98,0.85,0.00,0.00
1,2513112,0.69,3.91,0.00,0.00
0,2597918,0.56,5.72,0.00,0.00
0,2178240,0.50,5.50,0.00,0.00
2,2525142,0.29,8.98,0.00,0.00
1,2309360,0.44,6.50,0.00,0.00
0,2118551,0.41,6.22,0.00,0.00
2,2405310,0.23,9.26,0.00,0.00
2,2565168,0.86,2.51,0.00,0.00
2,2324416,0.29,8.26,0.00,0.00
1,2378514,0.02,11.63,0.00,0.00
0,2189755,0.44,6.18,0.00,0.00
2,2177913,0.62,4.17,0.00,0.00
1,2351792,0.32,8.00,0.00,0.00
2,2217136,0.77,2.52,0.00,0.00
2,2512740,0.41,7.40,0.00,0.00
0,2227989,0.06,10.46,0.00,0.00
0,2499108,0.45,6.87,0.00,0.00
2,2340672,0.89,2.53,0.00,0.00
1,2131030,0.69,3.33,0.00,0.00
0,2169056,0.10,9.76,0.00,0.00
1,2494113,0.42,7.27,0.00,0.00
1,2449279,0.28,8.85,0.00,0.00
0,2408666,0.20,9.69,0.00,0.00
2,2390645,0.42,6.91,0.00,0.00
1,2245913,0.40,6.71,0.00,0.00
1,2310048,0.00,11.55,0.00,0.00
0,2544354,0.16,10.73,0.00,0.00
1,2417399,0.44,6.79,0.00,0.00
2,2150542,0.70,3.18,0.00,0.00
1,2202905,0.82,2.18,0.00,0.00
2,2405437,0.30,8.40,0.00,0.00
2,2316570,0.78,2.54,0.00,0.00
1,2355377,0.80,2.36,0.00,0.00
0,2553573,0.23,9.81,0.00,0.00
0,2589093,0.08,11.87,0.00,0.00
3,2461591,0.85,1.96,0.00,0.00
2,2582451,0.25,9.65,0.00,0.00
1,2222319,0.54,5.16,0.00,0.00
2,2542958,0.40,7.59,0.00,0.00
0,2239084,0.33,7.51,0.00,0.00
1,2388955,1.00,2.26,0.00,0.00
0,2608816,0.52,6.22,0.00,0.00
0,2158264,0.77,2.46,0.00,0.00
2,2431580,0.45,6.66,0.00,0.00
0,2544694,0.99,2.37,0.00,0.00
2,2552324,0.54,5.90,0.00,0.00
3,2396940,0.69,3.67,0.00,0.00
0,2236771,0.07,10.42,0.00,0.00
0,2603079,0.43,7.43,0.00,0.00
2,2354465,0.41,6.94,0.00,0.00
0,2410177,0.65,4.24,0.00,0.00
1,2259018,0.50,5.66,0.00,0.00
0,2250735,0.72,3.10,0.00,0.00
0,2389170,0.28,8.57,0.00,0.00
1,2328209,0.43,6.64,0.00,0.00
1,2319064,0.36,7.42,0.00,0.00
0,2231113,0.72,3.10,0.00,0.00
0,2264620,0.86,1.83,0.00,0.00
2,2573861,0.82,2.28,0.00,0.00
0,2369052,0.45,6.57,0.00,0.00
0,2159890,0.47,5.77,0.00,0.00
1,503728,0.82,0.46,0.00,0.00
2,2586208,0.75,3.18,0.00,0.00
1,2233282,0.75,2.78,0.00,0.00
0,2398294,0.40,7.20,0.00,0.00
0,2262412,0.25,8.54,0.00,0.00
2,2514988,0.88,2.09,0.00,0.00
2,2438129,0.82,2.47,0.00,0.00
2,2222034,0.64,4.02,0.00,0.00
1,2556023,0.33,8.51,0.00,0.00
2,2191696,0.58,4.58,0.00,0.00
0,2337881,0.00,11.69,0.00,0.00
2,2323438,1.00,2.20,0.00,0.00
0,2546262,0.80,2.55,0.00,0.00
2,2264629,0.39,6.88,0.00,0.00
0,2396321,0.90,2.47,0.00,0.00
0,2323057,0.30,8.11,0.00,0.00
1,2362197,0.23,9.10,0.00,0.00
1,2421981,0.66,4.16,0.00,0.00
2,2269380,0.32,7.71,0.00,0.00
0,2343226,0.64,4.25,0.00,0.00
2,2281643,0.86,1.85,0.00,0.00
2,2430901,0.59,4.94,0.00,0.00
1,2478405,0.62,4.73,0.00,0.00
3,2165542,0.65,3.77,0.00,0.00
1,2399793,0.99,2.73,0.00,0.00
2,2346717,0.37,7.34,0.00,0.00
2,2126973,0.69,3.25,0.00,0.00
2,2264623,0.76,2.70,0.00,0.00
1,2586237,0.36,8.30,0.00,0.00
2,2457714,0.65,4.35,0.00,0.00
2,2442667,0.20,9.72,0.00,0.00
2,2168779,0.22,8.42,0.00,0.00
2,2427355,0.67,3.98,0.00,0.00
2,2565810,0.53,6.07,0.00,0.00
2,2574159,0.64,4.63,0.00,0.00
1,2377240,0.15,10.05,0.00,0.00
1,2521316,0.11,11.26,0.00,0.00
2,2366857,0.93,2.68,0.00,0.00
0,2149851,0.10,9.63,0.00,0.00
1,2269613,0.37,7.13,0.00,0.00
2,2128239,0.42,6.17,61.96,9.93
1,2537571,0.10,11.43,61.96,9.93
1,2100546,0.57,4.54,61.96,9.93
2,2237155,0.10,10.09,61.96,9.93
1,2480499,0.41,7.37,61.96,9.93
0,979957,0.64,1.75,61.96,9.93
0,2234251,0.29,7.98,0.00,0.00
2,2195742,0.43,6.26,0.00,0.00
2,2390862,0.72,3.38,0.00,0.00
0,2438858,0.76,2.88,0.00,0.00
0,2308886,0.89,1.94,0.00,0.00
2,2190622,0.70,3.31,0.00,0.00
0,2599164,0.15,11.08,0.00,0.00
1,2328928,0.59,4.73,0.00,0.00
1,2186588,0.58,4.61,0.00,0.00
0,2523563,0.75,3.15,0.00,0.00
1,2177476,0.69,3.41,0.00,0.00
1,2409995,0.95,2.16,0.00,0.00
2,2446621,0.05,11.64,0.00,0.00
1,2219566,0.38,6.93,0.00,0.00
1,2461176,0.24,9.41,0.00,0.00
1,2293425,0.77,2.67,0.00,0.00
1,2193452,0.21,8.63,0.00,0.00
0,2386285,0.56,5.25,0.00,0.00
1,2510204,0.82,2.35,0.00,0.00
0,2345804,0.40,7.08,0.00,0.00
0,2235705,0.09,10.19,0.00,0.00
2,2190876,0.75,2.74,0.00,0.00
1,2541858,0.95,2.75,0.00,0.00
2,2473165,0.54,5.64,0.00,0.00
2,2466878,0.37,7.73,0.00,0.00
1,2578413,0.28,9.26,0.00,0.00
0,2217523,0.83,2.08,0.00,0.00
1,2387599,0.03,11.59,0.00,0.00
2,2107776,0.01,10.43,0.00,0.00
0,2511707,0.59,5.16,0.00,0.00
2,2581100,0.09,11.70,0.00,0.00
2,2495958,0.09,11.30,0.00,0.00
0,2441795,0.29,8.70,0.00,0.00
0,2524835,1.00,2.36,0.00,0.00
0,2189604,0.51,5.37,0.00,0.00
2,2329677,0.88,1.93,0.00,0.00
1,2470984,0.60,4.93,0.00,0.00
2,2551243,0.61,5.02,0.00,0.00
1,2269918,0.81,2.12,0.00,0.00
1,2208424,0.11,9.83,0.00,0.00
0,2247210,0.05,10.63,0.00,0.00
2,2548881,0.52,6.12,0.00,0.00
1,2389395,0.15,10.14,0.00,0.00
1,2442939,0.61,4.78,0.00,0.00
0,2244017,0.56,4.89,0.00,0.00
2,2319703,0.05,11.04,0.00,0.00
2,2157230,0.80,2.20,0.00,0.00
1,2608192,0.55,5.82,0.00,0.00
0,2364990,0.49,5.99,0.00,0.00
0,2158866,0.20,8.64,0.00,0.00
1,2420102,0.30,8.52,0.00,0.00
2,2583150,0.09,11.71,0.00,0.00
0,2419594,0.56,5.31,0.00,0.00
1,2192778,0.00,10.96,0.00,0.00
1,2187294,0.42,6.31,0.00,0.00
2,2488471,0.92,2.71,0.00,0.00
0,2441309,0.16,10.31,0.00,0.00
2,2268483,0.31,7.83,0.00,0.00
2,2200186,0.25,8.27,0.00,0.00
0,2445436,0.70,3.61,0.00,0.00
1,2140487,0.00,10.70,0.00,0.00
0,571556,0.74,0.74,0.00,0.00
0,2426656,0.17,10.07,0.00,0.00
1,2461716,0.64,4.45,0.00,0.00
1,2465819,0.90,2.07,0.00,0.00
0,2128860,0.11,9.44,0.00,0.00
2,2143588,0.73,2.86,0.00,0.00
0,2451666,0.11,10.93,26.00,1.16
2,2230530,0.87,1.82,26.00,1.16
0,2454877,0.58,5.21,26.00,1.16
0,2466664,0.60,4.99,26.00,1.16
2,2295421,0.10,10.29,26.00,1.16
0,2168772,0.96,2.52,26.00,1.16
1,2443227,0.79,2.60,26.00,1.16
2,2467178,0.01,12.21,26.00,1.16
1,2167173,0.10,9.73,26.00,1.16
2,2197828,0.01,10.87,26.00,1.16
0,2122681,0.44,5.98,26.00,1.16
2,2337306,0.40,7.00,26.00,1.16
0,2417356,0.13,10.52,26.00,1.16
1,2186395,0.84,2.07,26.00,1.16
0,2172260,0.00,10.82,26.00,1.16
2,2243258,0.41,6.65,26.00,1.16
1,2363476,0.09,10.71,26.00,1.16
0,2146695,0.90,2.31,26.00,1.16
1,2451908,0.70,3.62,26.00,1.16
1,2402451,0.59,4.90,26.00,1.16
2,2551451,0.20,10.15,26.00,1.16
2,2620668,0.16,11.00,26.00,1.16
2,2165050,0.48,5.67,26.00,1.16
3,2382408,0.86,1.92,26.00,1.16
2,2526886,0.87,2.05,26.00,1.16
1,2587612,0.81,2.48,26.00,1.16
0,2585504,0.90,2.83,26.00,1.16
2,2222895,0.55,5.01,26.00,1.16
0,2393980,0.09,10.87,26.00,1.16
2,2217836,0.64,3.95,26.00,1.16
1,2308796,0.85,1.83,26.00,1.16
1,2345393,0.40,7.02,26.00,1.16
0,2318452,0.17,9.58,26.00,1.16
0,2252387,0.62,4.23,26.00,1.16
0,2160408,0.20,8.59,26.00,1.16
0,2278840,0.98,2.75,26.00,1.16
2,2525421,0.90,2.63,26.00,1.16
2,2392807,0.43,6.79,26.00,1.16
1,2314642,0.05,11.02,26.00,1.16
0,1892403,0.34,6.22,26.00,1.16
1,2192631,0.03,10.60,0.00,0.00
0,2539797,0.56,5.59,0.00,0.00
0,2366288,0.31,8.17,0.00,0.00
2,2408049,0.00,12.04,0.00,0.00
0,2157403,0.19,8.75,0.00,0.00
1,2241571,1.00,2.09,0.00,0.00
0,2586947,0.34,8.55,0.00,0.00
2,2585102,0.66,4.41,0.00,0.00
2,2571380,0.43,7.36,0.00,0.00
1,2491667,0.42,7.19,0.00,0.00
0,2131129,0.40,6.41,0.00,0.00
1,2263835,0.70,3.44,0.00,0.00
2,2315483,0.50,5.81,0.00,0.00
1,2606460,0.33,8.69,0.00,0.00
0,2385877,0.54,5.43,0.00,0.00
2,2427760,0.59,4.92,0.00,0.00
0,2337438,0.94,2.63,0.00,0.00
1,2143990,0.27,7.78,0.00,0.00
0,2132319,0.43,6.08,0.00,0.00
2,2415701,0.66,4.07,0.00,0.00
1,2166882,0.16,9.08,0.00,0.00
1,2303928,0.91,1.95,0.00,0.00
1,2583687,0.99,2.39,0.00,0.00
2,2373309,0.11,10.62,0.00,0.00
0,2158021,0.83,1.88,0.00,0.00
2,2385029,0.55,5.33,0.00,0.00
0,2379310,0.34,7.90,0.00,0.00
0,2573322,0.26,9.53,0.00,0.00
0,2617966,0.36,8.44,0.00,0.00
1,2273376,0.42,6.59,0.00,0.00
2,2428180,0.55,5.47,0.00,0.00
0,2178455,0.32,7.44,0.00,0.00
2,2276469,0.20,9.12,0.00,0.00
0,2098644,0.41,6.19,0.00,0.00
0,2522922,0.44,7.09,0.00,0.00
2,2289217,0.06,10.74,0.00,0.00
2,2109912,0.33,7.03,0.00,0.00
1,2267240,0.60,4.50,0.00,0.00
2,2333208,0.78,2.58,0.00,0.00
1,2375343,0.19,9.61,0.00,0.00
0,2162696,0.55,4.84,0.00,0.00
2,2521906,0.08,11.56,0.00,0.00
2,2342883,0.74,3.07,0.00,0.00
0,2098420,0.72,2.94,0.00,0.00
0,2274480,0.06,10.71,0.00,0.00
0,2398842,0.79,2.53,0.00,0.00
1,2421889,0.77,2.79,0.00,0.00
1,2286604,0.48,5.95,0.00,0.00
1,2597225,0.26,9.67,0.00,0.00
0,2181949,0.75,2.78,0.00,0.00
2,2308013,0.03,11.21,0.00,0.00
2,2277014,0.63,4.24,0.00,0.00
0,2506411,0.23,9.71,0.00,0.00
2,2583845,0.66,4.38,0.00,0.00
1,2520398,0.85,2.01,0.00,0.00
0,2131038,0.48,5.51,0.00,0.00
2,2203188,0.46,5.95,0.00,0.00
2,2379259,0.74,3.04,0.00,0.00
2,2513802,0.28,9.02,0.00,0.00
1,2222697,0.07,10.31,0.00,0.00
2,2562372,0.41,7.61,0.00,0.00
1,1976239,0.17,8.16,0.00,0.00
1,2475005,0.70,3.76,0.00,0.00
1,2606991,0.89,2.20,0.00,0.00
2,2446508,0.07,11.40,0.00,0.00
2,2210120,0.37,6.96,0.00,0.00
0,2595787,0.68,4.19,0.00,0.00
1,2156619,0.95,1.93,0.00,0.00
2,2214535,0.87,1.82,0.00,0.00
1,2583400,0.15,10.96,0.00,0.00
0,2246592,0.65,3.88,0.00,0.00
0,2201828,0.30,7.71,0.00,0.00
1,2302249,0.57,5.00,0.00,0.00
1,2134007,0.71,3.08,0.00,0.00
0,2362470,0.85,1.89,0.00,0.00
1,2564360,0.72,3.64,0.00,0.00
0,2250440,0.59,4.60,0.00,0.00
2,2179713,0.37,6.90,0.00,0.00
0,2174052,0.21,8.59,0.00,0.00
2,2116087,0.15,9.01,0.00,0.00
1,2346761,0.58,4.92,0.00,0.00
2,2608404,0.49,6.67,0.00,0.00
1,2392967,0.96,2.16,0.00,0.00
0,2531055,0.56,5.62,0.00,0.00
0,2409252,0.56,5.30,0.00,0.00
0,2247665,0.82,2.00,0.00,0.00
0,2510433,0.03,12.19,0.00,0.00
1,2437837,0.72,3.36,0.00,0.00
1,2243078,0.43,6.42,0.00,0.00
2,2328914,0.87,1.91,0.00,0.00
0,2215453,0.45,6.13,0.00,0.00
1,2572337,0.94,2.27,0.00,0.00
2,2166790,0.82,2.05,0.00,0.00
1,2136140,0.55,4.85,0.00,0.00
0,2524879,0.54,5.77,0.00,0.00
0,2250088,0.67,3.73,0.00,0.00
0,2291547,0.67,3.72,0.00,0.00
0,2545163,0.56,5.63,0.00,0.00
1,2539559,0.98,2.35,0.00,0.00
1,2190953,0.71,3.19,0.00,0.00
0,2310886,0.64,4.21,0.00,0.00
2,2237695,0.38,6.97,0.00,0.00
1,2450335,0.73,3.29,0.00,0.00
2,2247311,0.16,9.44,0.00,0.00
1,2481738,0.12,10.96,0.00,0.00
1,2098679,0.56,4.65,0.00,0.00
0,1720918,0.63,3.16,0.00,0.00
1,2580323,0.44,7.28,0.00,0.00
2,2570165,0.12,11.26,0.00,0.00
1,2565261,0.18,10.54,0.00,0.00
1,2275712,0.55,5.06,0.00,0.00
2,2476663,0.93,2.16,0.00,0.00
0,2417156,0.68,3.85,0.00,0.00
1,2480221,0.72,3.53,0.00,0.00
1,2351995,0.76,2.86,0.00,0.00
1,2605110,0.47,6.96,0.00,0.00
0,2570922,0.73,3.52,0.00,0.00
0,2608400,0.99,2.43,0.00,0.00
2,2197725,0.68,3.56,0.00,0.00
0,2594899,0.64,4.64,0.00,0.00
0,2493967,0.49,6.35,0.00,0.00
2,2616457,0.58,5.46,0.00,0.00
1,2216941,0.10,9.94,0.00,0.00
0,2272977,0.54,5.18,0.00,0.00
1,2420630,0.30,8.50,0.00,0.00
3,2473251,0.63,4.52,0.00,0.00
