User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
3,2591348,0.00,12.96,2.38,100.00
2,2589471,0.03,12.57,0.00,100.00
3,2506939,0.07,11.70,100.00,0.00
2,2506895,0.00,12.53,88.59,38.57
3,2173480,0.00,10.87,88.59,38.57
3,2348991,0.00,11.74,88.59,38.57
2,2327354,0.00,11.64,88.59,38.57
3,2122964,0.04,10.16,88.59,38.57
3,2448524,0.01,12.07,39.04,100.00
2,2116874,0.00,10.58,100.00,100.00
2,2276278,0.03,11.04,100.00,100.00
2,2532162,0.00,12.66,100.00,100.00
3,2213425,0.01,10.93,100.00,100.00
2,2431722,0.05,11.57,13.42,100.00
2,2563303,0.00,12.82,13.42,100.00
3,2179892,0.00,10.90,100.00,0.00
3,2221524,0.03,10.76,100.00,0.00
3,2551635,0.04,12.21,100.00,0.00
2,2111806,0.00,10.56,8.14,0.00
3,2391303,0.03,11.66,8.14,0.00
3,2234876,0.06,10.46,100.00,100.00
2,2104029,0.03,10.20,100.00,100.00
3,2127628,0.00,10.64,0.00,0.00
3,2426032,0.00,12.13,21.11,0.00
3,2512440,0.02,12.29,21.11,0.00
2,2431847,0.00,12.16,100.00,0.00
3,2145190,0.00,10.73,100.00,0.00
3,2221045,0.02,10.88,100.00,0.00
2,2169660,0.00,10.85,78.14,0.00
2,2424936,0.00,12.12,0.00,0.00
3,2175681,0.00,10.88,0.00,0.00
3,2274665,0.03,11.00,0.00,0.00
3,2213390,0.00,11.07,100.00,68.23
3,2268448,0.04,10.86,24.36,100.00
2,2208914,0.00,11.04,24.36,100.00
3,2167548,0.01,10.75,24.36,100.00
3,2247517,0.00,11.24,100.00,100.00
3,2394678,0.03,11.59,100.00,100.00
2,2587848,0.00,12.94,100.00,100.00
2,2265646,0.11,10.12,100.00,32.22
2,2452821,0.00,12.24,0.00,100.00
3,2227335,0.05,10.58,0.00,100.00
2,2261359,0.00,11.31,0.00,100.00
2,2129297,0.04,10.20,12.49,100.00
2,2362241,0.00,11.81,13.99,34.01
2,2395094,0.00,11.98,0.00,100.00
3,2359142,0.10,10.60,0.00,100.00
3,2557258,0.01,12.65,100.00,100.00
2,2181969,0.07,10.18,100.00,100.00
3,2297677,0.00,11.49,78.95,0.00
3,2402368,0.00,12.01,78.95,0.00
3,2283688,0.04,10.97,100.00,100.00
2,2184165,0.00,10.92,52.31,65.09
