User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
2,2529043,1.00,2.97,0.00,100.00
2,2130361,1.00,2.00,0.00,100.00
2,2482486,1.00,2.93,0.00,100.00
3,2178864,1.00,2.05,0.00,0.00
3,2541985,0.95,2.28,100.00,0.00
3,2583178,0.95,2.31,0.00,100.00
3,2395319,1.00,2.88,100.00,0.00
2,2397205,1.00,2.93,0.00,100.00
2,2585490,0.99,2.42,0.00,100.00
2,2451849,1.00,2.85,0.00,0.00
3,2188592,1.00,2.58,100.00,100.00
2,2331860,1.00,2.66,0.00,100.00
2,2468976,0.99,2.31,0.00,100.00
2,2136532,0.96,1.93,0.00,100.00
2,2248660,1.00,2.61,0.00,100.00
3,2539422,0.98,2.35,0.00,100.00
3,2306936,0.97,2.12,0.00,100.00
3,2135124,1.00,2.56,0.00,100.00
2,2157004,1.00,2.02,0.00,100.00
2,2537262,0.94,2.24,100.00,0.00
2,2544240,0.95,2.94,0.00,100.00
3,2590343,0.99,3.04,0.00,100.00
2,2496402,1.00,2.35,0.00,100.00
3,2101909,1.00,2.48,100.00,100.00
3,2108155,1.00,2.50,0.00,100.00
3,2427063,1.00,2.28,0.00,100.00
3,2461147,1.00,2.89,0.00,100.00
2,2214994,1.00,2.60,100.00,0.00
2,2300413,1.00,2.79,0.00,100.00
3,2138313,0.97,2.45,0.00,100.00
2,2370039,0.99,2.22,0.00,100.00
3,2463545,0.97,2.83,0.00,100.00
2,2293563,1.00,2.73,0.00,100.00
2,2537466,0.96,2.29,0.00,0.00
2,2241808,1.00,2.83,0.00,100.00
3,2306908,0.88,1.92,0.00,100.00
2,2476119,1.00,2.33,0.00,100.00
2,2501825,0.97,2.84,0.00,100.00
2,2140226,0.98,2.46,0.00,100.00
3,2344230,1.00,2.21,0.00,100.00
2,2536916,0.98,2.34,100.00,100.00
3,2523567,0.94,2.86,0.00,100.00
2,2288056,0.94,2.53,100.00,0.00
2,2541372,1.00,3.11,0.00,0.00
2,2306342,0.97,2.12,100.00,100.00
2,2220407,1.00,2.08,0.00,100.00
2,2563207,1.00,2.41,0.00,100.00
2,2287923,1.00,2.15,100.00,100.00
2,2507291,0.96,2.92,0.00,100.00
2,2525134,0.98,2.32,0.00,100.00
3,2353509,0.89,1.96,0.00,100.00
2,2271993,0.95,2.43,100.00,0.00
3,2508463,1.00,3.04,0.00,100.00
3,2190234,0.93,2.35,0.00,100.00
2,2426822,0.98,2.21,100.00,0.00
3,2201614,0.95,2.54,0.00,100.00
2,2477452,0.96,2.67,0.00,100.00
3,2126039,0.99,2.44,100.00,100.00
3,2512577,0.94,2.88,100.00,0.00
2,2528522,1.00,3.21,0.00,0.00
2,2305657,1.00,2.18,0.00,100.00
2,2252261,1.00,2.55,100.00,100.00
3,2305235,0.95,2.06,0.00,100.00
2,2438190,1.00,2.28,0.00,100.00
2,2234359,0.96,2.41,0.00,100.00
2,2327380,0.94,2.47,0.00,100.00
3,2338194,1.00,2.20,0.00,100.00
3,2371730,0.98,2.18,0.00,100.00
2,2424433,1.00,2.27,0.00,100.00
2,2116821,0.98,1.93,0.00,100.00
3,2544818,1.00,2.39,0.00,100.00
3,2277770,0.95,2.03,0.00,0.00
2,2101022,0.97,1.94,0.00,0.00
2,2274340,0.99,2.12,0.00,100.00
2,2358899,0.88,1.94,0.00,100.00
3,2415808,0.97,2.21,0.00,0.00
2,2449398,1.00,2.32,100.00,100.00
3,2420904,1.00,2.28,0.00,100.00
2,2527877,1.00,2.36,0.00,0.00
3,2522736,1.00,2.89,0.00,0.00
3,2469415,0.98,2.26,100.00,100.00
2,2185559,0.98,2.01,100.00,0.00
2,2485643,0.97,2.29,0.00,100.00
3,2323466,0.97,2.11,0.00,100.00
3,2439016,1.00,2.28,0.00,100.00
2,2313473,0.99,2.13,0.00,100.00
2,2165144,0.99,2.43,100.00,0.00
3,2121277,1.00,1.99,100.00,0.00
3,2440781,1.00,2.29,100.00,100.00
3,2405308,1.00,2.91,0.00,0.00
3,2485320,1.00,2.32,100.00,100.00
2,2472686,0.99,2.92,0.00,0.00
2,2156545,1.00,2.03,0.00,100.00
2,2300670,1.00,2.64,0.00,100.00
3,2507519,0.99,2.95,0.00,100.00
2,2156446,1.00,2.03,0.00,100.00
3,2508833,1.00,2.36,100.00,0.00
3,2165283,1.00,2.53,0.00,100.00
3,2550563,0.90,2.71,100.00,100.00
3,2259465,1.00,2.61,0.00,100.00
2,2122841,0.99,1.98,100.00,100.00
2,2579800,0.99,2.41,100.00,0.00
2,2295572,0.95,2.06,0.00,0.00
3,2127730,1.00,2.54,0.00,100.00
2,2188781,1.00,2.52,0.00,100.00
3,2527435,1.00,2.37,0.00,0.00
2,2542257,1.00,2.92,0.00,100.00
3,2104145,1.00,2.46,100.00,100.00
2,2119090,1.00,2.00,0.00,100.00
3,2119996,1.00,2.48,0.00,100.00
3,2543895,1.00,2.39,100.00,0.00
3,2534082,0.93,2.21,0.00,100.00
2,2274917,0.95,2.02,100.00,100.00
2,2309801,0.94,2.69,0.00,100.00
3,2582189,0.98,2.39,59.04,0.00
2,2258611,1.00,2.13,0.00,100.00
2,2524391,0.90,2.62,0.00,100.00
2,2579764,0.98,2.38,0.00,100.00
3,2214021,1.00,2.08,0.00,0.00
2,2351893,1.00,2.20,100.00,100.00
3,2208349,0.96,1.99,0.00,100.00
2,2426849,0.97,2.22,0.00,100.00
2,2139596,0.98,2.42,100.00,100.00
2,2340681,1.00,2.92,0.00,100.00
3,2350529,0.97,2.14,100.00,100.00
2,2355854,1.00,2.91,0.00,0.00
2,2351389,1.00,2.20,0.00,100.00
3,2487618,0.95,2.21,100.00,100.00
3,2339919,1.00,2.69,100.00,100.00
2,2451349,0.95,2.21,100.00,100.00
2,2140747,0.94,2.49,100.00,100.00
2,2376678,0.94,2.12,0.00,100.00
2,2430428,1.00,2.27,0.00,100.00
3,2192669,0.87,1.79,0.00,100.00
3,2208929,0.92,2.33,0.00,100.00
2,2366487,0.97,2.62,0.00,100.00
3,2606564,1.00,2.99,0.00,100.00
3,2214301,1.00,2.53,0.00,100.00
3,2416127,1.00,3.05,0.00,100.00
3,2185354,0.95,2.50,0.00,100.00
3,2456890,0.99,2.30,0.00,100.00
2,2434988,0.93,2.69,0.00,100.00
2,2221317,0.95,1.99,100.00,100.00
2,2132842,0.98,1.96,0.00,100.00
2,2514206,1.00,2.37,0.00,100.00
3,2383722,1.00,2.90,100.00,0.00
3,2488453,0.92,2.17,0.00,100.00
3,2134088,1.00,2.02,0.00,100.00
3,2164149,1.00,2.04,0.00,100.00
2,2105242,0.96,1.90,100.00,100.00
3,2483405,1.00,2.79,0.00,100.00
3,2451627,1.00,2.31,100.00,100.00
2,2373552,1.00,2.68,100.00,0.00
3,2289012,0.92,2.58,0.00,100.00
2,2443564,0.94,2.79,100.00,100.00
2,2548653,1.00,2.38,0.00,100.00
2,2484684,0.99,2.33,100.00,100.00
2,2387577,1.00,2.23,0.00,0.00
2,2401114,0.97,2.92,100.00,100.00
3,2219804,0.93,1.94,100.00,0.00
3,2178752,0.97,2.55,0.00,100.00
2,2608031,1.00,3.15,0.00,100.00
3,2497462,0.96,2.25,0.00,0.00
2,2449255,1.00,3.04,0.00,100.00
3,2409940,0.96,2.69,0.00,100.00
3,2338509,0.99,2.18,0.00,100.00
2,2289070,1.00,2.76,0.00,100.00
3,2617847,0.94,2.89,0.00,100.00
2,2524160,0.98,2.33,0.00,0.00
2,2563129,1.00,3.22,0.00,100.00
2,2490051,0.96,2.90,0.00,0.00
2,2433655,0.98,2.25,0.00,100.00
2,2176013,1.00,2.05,0.00,100.00
2,2361309,0.94,2.69,100.00,0.00
2,2309828,1.00,2.17,0.00,0.00
3,2257876,1.00,2.78,0.00,100.00
3,2223763,1.00,2.09,0.00,100.00
3,2416933,1.00,2.79,0.00,100.00
3,2380820,0.94,2.59,100.00,100.00
2,2109300,0.98,2.36,0.00,100.00
2,2104819,1.00,1.98,100.00,100.00
2,2163147,1.00,2.45,100.00,0.00
3,2401507,1.00,2.96,100.00,100.00
3,2379444,0.89,1.98,0.00,100.00
3,2136391,1.00,2.02,0.00,100.00
2,2396560,0.90,2.59,0.00,100.00
3,2243714,0.92,2.56,0.00,100.00
3,2347784,1.00,2.90,0.00,0.00
2,2097405,1.00,2.44,0.00,100.00
3,2124724,1.00,2.64,0.00,100.00
2,2304000,1.00,2.17,0.00,100.00
2,2548196,1.00,2.41,0.00,0.00
3,2516607,0.96,2.28,0.00,100.00
3,2250321,0.91,2.54,100.00,100.00
2,2502595,1.00,2.36,100.00,100.00
2,2375338,0.99,2.82,0.00,100.00
2,2549378,0.98,3.04,0.00,100.00
2,2165789,1.00,2.63,0.00,100.00
3,2448677,1.00,3.06,0.00,100.00
2,2131625,0.97,2.50,0.00,100.00
2,2113914,0.96,2.45,0.00,100.00
2,2381269,0.90,2.01,0.00,100.00
2,2537908,0.98,2.97,0.00,100.00
2,2243019,0.95,2.55,0.00,100.00
3,2466926,0.95,2.96,0.00,100.00
3,2537019,1.00,3.18,0.00,0.00
3,2593343,0.98,2.37,0.00,100.00
2,2576918,0.98,2.38,0.00,100.00
3,2155765,0.95,1.95,0.00,100.00
2,2311033,0.89,1.93,0.00,100.00
3,2600232,0.96,3.10,0.00,100.00
3,2137433,0.99,2.62,0.00,100.00
2,2580283,0.97,2.97,0.00,100.00
3,2284251,0.97,2.09,100.00,100.00
2,2485405,0.98,2.29,100.00,0.00
2,2204983,1.00,2.56,0.00,100.00
3,2147860,1.00,2.60,0.00,100.00
3,2465512,0.98,2.92,0.00,0.00
2,2399359,1.00,2.88,100.00,0.00
3,2438540,1.00,2.83,0.00,100.00
3,2300850,1.00,2.17,0.00,100.00
2,2209314,0.98,2.04,0.00,100.00
2,2488250,1.00,2.35,100.00,100.00
2,2511920,0.95,2.81,0.00,100.00
2,2218018,1.00,2.10,100.00,100.00
3,2613953,1.00,2.47,100.00,0.00
2,2147078,1.00,2.45,100.00,100.00
2,2292092,0.94,2.52,0.00,100.00
3,2439477,0.90,2.73,100.00,0.00
2,2582282,0.99,2.41,0.00,0.00
3,2163088,1.00,2.69,100.00,100.00
2,2442568,0.97,2.92,0.00,100.00
3,2250693,1.00,2.60,0.00,100.00
3,2311221,0.92,2.47,0.00,0.00
3,2285736,1.00,2.80,0.00,0.00
3,2424518,0.97,2.22,100.00,100.00
3,2459448,1.00,2.30,100.00,0.00
2,2331133,1.00,2.88,0.00,100.00
2,2281418,0.98,2.56,0.00,100.00
2,2362757,0.96,2.12,100.00,0.00
3,2120010,1.00,2.01,0.00,100.00
3,2620668,0.97,2.90,0.00,100.00
3,2404273,1.00,2.25,100.00,100.00
2,2443582,1.00,2.31,100.00,100.00
3,2213660,0.96,1.99,0.00,0.00
2,2447488,0.97,2.24,100.00,100.00
2,2517821,0.98,3.00,0.00,0.00
3,2176462,1.00,2.67,0.00,100.00
2,2571851,1.00,2.98,0.00,0.00
3,2343082,0.95,2.74,100.00,100.00
3,2339185,0.93,2.04,0.00,100.00
2,2311615,1.00,2.17,0.00,100.00
2,2154528,1.00,2.03,0.00,100.00
3,2260386,0.97,2.51,100.00,0.00
2,2168687,1.00,2.51,0.00,100.00
3,2590976,0.93,2.26,100.00,100.00
2,2341471,1.00,2.21,0.00,100.00
2,2313675,0.94,2.60,100.00,100.00
2,2470693,0.90,2.10,100.00,100.00
3,2274291,1.00,2.63,0.00,0.00
2,2460729,1.00,2.81,0.00,100.00
2,2156190,1.00,2.59,0.00,0.00
3,2446430,0.93,2.15,0.00,0.00
3,2585603,1.00,2.45,0.00,100.00
3,2498993,1.00,2.34,0.00,0.00
2,2607634,1.00,2.97,0.00,100.00
2,2617314,0.93,2.95,0.00,100.00
2,2239608,1.00,2.74,100.00,0.00
2,2399874,1.00,2.25,0.00,0.00
3,2497489,1.00,2.36,0.00,0.00
2,2372314,0.99,2.72,0.00,0.00
2,2543028,0.92,2.69,100.00,0.00
3,2157088,1.00,2.65,100.00,100.00
3,2218635,0.89,1.85,0.00,100.00
2,2392249,1.00,2.80,0.00,100.00
3,2452293,0.95,2.62,0.00,100.00
2,2126764,0.97,2.39,0.00,100.00
2,2516464,1.00,2.93,100.00,100.00
3,2274481,0.98,2.10,0.00,100.00
3,2182262,1.00,2.47,100.00,100.00
3,2203842,1.00,2.62,0.00,100.00
3,2291471,0.95,2.03,0.00,100.00
3,2160194,1.00,2.02,100.00,100.00
2,2261587,0.94,2.00,0.00,100.00
3,2506122,1.00,2.35,0.00,100.00
2,2247723,0.97,2.53,100.00,0.00
3,2156951,1.00,2.04,0.00,100.00
3,2417751,0.96,2.64,0.00,0.00
3,2480277,1.00,2.94,0.00,100.00
3,2538026,1.00,2.38,0.00,100.00
2,2546661,0.98,2.92,0.00,0.00
3,2457497,1.00,2.90,100.00,0.00
3,2210515,1.00,2.72,0.00,100.00
2,2557144,1.00,2.98,100.00,0.00
2,2269655,0.99,2.67,100.00,100.00
2,2373445,1.00,2.73,0.00,100.00
2,2458596,0.98,2.84,100.00,100.00
2,2502026,1.00,2.86,0.00,100.00
3,2488153,0.99,2.30,0.00,100.00
3,2534384,0.98,2.80,0.00,100.00
3,2495773,1.00,2.33,0.00,100.00
3,2536638,1.00,2.87,0.00,100.00
2,2539456,0.99,2.36,100.00,0.00
2,2435469,1.00,2.29,0.00,100.00
3,2327174,0.98,2.57,0.00,100.00
3,2427646,1.00,2.75,100.00,0.00
2,2342989,1.00,2.81,0.00,100.00
2,2310372,1.00,2.68,0.00,100.00
2,2525266,1.00,2.93,0.00,100.00
2,2461728,1.00,2.85,0.00,100.00
3,2275869,0.99,2.10,100.00,100.00
2,2229273,1.00,2.09,0.00,100.00
3,2501434,1.00,2.34,100.00,0.00
3,2177744,1.00,2.72,100.00,0.00
3,2202008,0.99,2.06,0.00,100.00
2,2140084,1.00,2.01,100.00,0.00
3,2390560,1.00,2.27,0.00,100.00
2,2315228,1.00,2.17,0.00,100.00
3,2145503,0.92,1.86,0.00,100.00
2,2265601,0.96,2.05,0.00,0.00
2,2434750,0.95,2.82,0.00,100.00
2,2351553,1.00,2.96,0.00,100.00
3,2393645,1.00,2.25,0.00,100.00
3,2161411,1.00,2.03,100.00,100.00
3,2551239,1.00,2.97,0.00,100.00
2,2432641,1.00,3.06,0.00,100.00
2,2601938,0.88,2.87,0.00,100.00
3,2227847,1.00,2.09,0.00,100.00
3,2549444,0.99,2.94,0.00,100.00
2,2325775,0.98,2.15,100.00,0.00
3,2235918,1.00,2.10,0.00,40.95
3,2258143,0.93,2.45,0.00,100.00
3,2489321,1.00,2.34,0.00,100.00
2,2381471,1.00,2.98,0.00,0.00
2,2218622,0.98,2.06,100.00,100.00
3,2331478,1.00,2.68,0.00,0.00
3,2243115,1.00,2.69,0.00,100.00
2,2311853,0.99,2.16,100.00,100.00
2,2510809,1.00,2.36,100.00,0.00
2,2192567,1.00,2.05,0.00,100.00
2,2101367,1.00,2.66,0.00,100.00
2,2187778,1.00,2.77,0.00,100.00
3,2388827,1.00,2.78,0.00,100.00
3,2203212,0.91,2.35,0.00,100.00
2,2588243,1.00,2.46,0.00,100.00
3,2216786,0.95,1.98,0.00,100.00
3,2523383,1.00,2.37,0.00,100.00
3,2559126,0.98,2.95,0.00,0.00
2,2422292,0.94,2.16,100.00,0.00
3,2308035,0.96,2.10,100.00,100.00
2,2203047,1.00,2.64,0.00,100.00
3,2500744,0.89,2.09,0.00,100.00
3,2433856,1.00,2.29,0.00,100.00
2,2547908,0.99,3.21,100.00,0.00
3,2603637,1.00,2.45,0.00,100.00
3,2547247,1.00,3.03,0.00,100.00
2,2564137,0.97,2.36,0.00,100.00
2,2250729,1.00,2.13,0.00,100.00
3,2600070,0.99,3.09,0.00,100.00
3,2381523,1.00,2.24,0.00,100.00
2,2382330,1.00,3.01,0.00,0.00
3,2170819,1.00,2.05,0.00,100.00
3,2440539,0.91,2.62,0.00,100.00
3,2517121,0.99,2.36,0.00,100.00
2,2486154,1.00,3.00,0.95,100.00
3,2498305,0.96,2.25,0.00,100.00
3,2324955,0.95,2.54,0.00,100.00
3,2604650,1.00,2.99,100.00,0.00
2,2270708,0.99,2.68,0.00,100.00
2,2525657,1.00,2.39,0.00,100.00
2,2516584,1.00,2.38,0.00,100.00
3,2264181,0.95,2.49,100.00,0.00
