User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
0,2512872,0.00,12.52,85.91,99.06
0,2382267,0.02,11.66,85.91,99.06
0,2368293,0.00,11.84,85.91,99.06
0,857285,0.00,4.29,85.91,99.06
0,2604065,0.07,12.05,0.00,0.00
0,2201972,0.11,9.83,0.00,0.00
0,2541677,0.05,12.04,0.00,0.00
0,2432737,0.00,12.16,52.68,25.67
0,2258779,0.01,11.20,52.68,25.67
0,2502145,0.03,12.15,52.68,25.67
0,2557013,0.00,12.79,52.68,25.67
0,2406735,0.00,12.03,52.68,25.67
0,2611866,0.08,11.99,52.68,25.67
0,2244272,0.03,10.92,52.68,25.67
0,2299947,0.00,11.50,52.68,25.67
0,2329005,0.00,11.65,52.68,25.67
0,2114283,0.00,10.57,52.68,25.67
0,2435589,0.07,11.27,50.65,32.54
0,2610189,0.05,12.45,50.65,32.54
0,2372605,0.00,11.86,50.65,32.54
0,2333096,0.07,10.80,50.65,32.54
0,2117080,0.00,10.59,50.65,32.54
0,2454799,0.00,12.27,50.65,32.54
0,2595298,0.02,12.71,50.65,32.54
0,2113091,0.06,9.91,50.65,32.54
0,2528574,0.00,12.62,50.65,32.54
0,2229892,0.04,10.65,50.65,32.54
0,2284163,0.00,11.42,50.65,32.54
0,2279950,0.00,11.40,50.65,32.54
0,2589770,0.00,12.95,50.65,32.54
0,2491236,0.00,12.46,50.65,32.54
0,2251757,0.00,11.26,67.15,63.31
0,2172592,0.02,10.67,67.15,63.31
0,2505092,0.00,12.53,67.15,63.31
0,2350109,0.00,11.75,67.15,63.31
0,2338315,0.02,11.44,67.15,63.31
0,2463261,0.00,12.32,67.15,63.31
0,2135283,0.01,10.58,67.15,63.31
0,2196645,0.00,10.98,67.15,63.31
0,2323612,0.00,11.62,67.15,63.31
0,2210424,0.00,11.05,67.15,63.31
0,2276709,0.02,11.20,67.15,63.31
0,2132217,0.09,9.69,67.15,63.31
0,2157085,0.00,10.79,67.15,63.31
0,2497463,0.09,11.37,67.15,63.31
0,2322971,0.03,11.30,67.15,63.31
0,2116861,0.03,10.28,47.65,77.24
0,2497928,0.00,12.49,47.65,77.24
0,1369448,0.00,6.85,47.65,77.24
0,2542849,0.03,12.37,0.00,0.00
0,2275284,0.03,10.98,0.00,0.00
0,2175947,0.01,10.80,0.00,0.00
0,2496418,0.00,12.48,0.00,0.00
0,2398573,0.00,11.99,0.00,0.00
0,2173980,0.04,10.46,0.00,0.00
0,2565100,0.00,12.83,0.00,0.00
0,2245847,0.00,11.20,0.00,0.00
0,2505458,0.06,11.83,0.00,0.00
0,2391132,0.00,11.96,0.00,0.00
0,2570484,0.02,12.55,0.00,0.00
0,2132671,0.06,9.98,0.00,0.00
0,2569768,0.00,12.85,0.00,0.00
0,2301442,0.01,11.39,0.00,0.00
0,2534987,0.03,12.32,0.00,0.00
0,2338062,0.00,11.69,0.00,0.00
0,2328681,0.01,11.51,0.00,0.00
0,2410353,0.00,12.05,0.00,0.00
0,2606634,0.10,11.79,0.00,0.00
0,2524902,0.06,11.88,0.00,0.00
0,2523272,0.01,12.49,0.00,0.00
0,2113679,0.00,10.57,0.00,0.00
0,2224726,0.05,10.56,0.00,0.00
0,2241851,0.00,11.21,0.00,0.00
0,2124947,0.00,10.62,0.00,0.00
0,2361061,0.05,11.24,0.00,0.00
0,2506543,0.03,12.18,0.00,0.00
0,2312745,0.00,11.56,0.00,0.00
0,2458859,0.01,12.12,0.00,0.00
0,2496411,0.00,12.48,0.00,0.00
0,2234421,0.00,11.17,0.00,0.00
0,2493086,0.02,12.16,0.00,0.00
0,2499746,0.00,12.50,0.00,0.00
0,2284596,0.00,11.42,0.00,0.00
0,2170260,0.00,10.85,0.00,0.00
0,2209149,0.00,11.02,0.00,0.00
0,2137409,0.00,10.63,0.00,0.00
0,2163631,0.00,10.82,0.00,0.00
0,2161074,0.00,10.81,0.00,0.00
0,2607536,0.00,13.04,0.00,0.00
0,2607091,0.00,13.04,0.00,0.00
0,2365411,0.00,11.83,0.00,0.00
0,2316299,0.00,11.58,0.00,0.00
0,2438954,0.06,11.41,0.00,0.00
0,716271,0.00,3.58,0.00,0.00
0,2099997,0.00,10.50,0.00,0.00
0,2559455,0.00,12.80,0.00,0.00
0,2444263,0.00,12.22,0.00,0.00
0,2418483,0.00,12.09,0.00,0.00
0,2406122,0.00,12.03,0.00,0.00
0,2453101,0.00,12.27,0.00,0.00
0,2516324,0.00,12.58,0.00,0.00
0,2418135,0.08,11.10,0.00,0.00
0,2143757,0.04,10.31,0.00,0.00
0,2216548,0.04,10.62,0.00,0.00
0,2475996,0.00,12.38,0.00,0.00
0,2478362,0.04,11.87,0.00,0.00
0,2428826,0.06,11.44,0.00,0.00
0,2453366,0.00,12.27,0.00,0.00
0,2498422,0.01,12.43,0.00,0.00
0,2531608,0.00,12.66,0.00,0.00
0,2502401,0.01,12.42,0.00,0.00
0,2125989,0.00,10.63,0.00,0.00
0,2099787,0.00,10.45,0.00,0.00
0,2411921,0.00,12.03,0.00,0.00
0,2378616,0.07,11.10,0.00,0.00
0,2129681,0.01,10.58,0.00,0.00
0,2553595,0.02,12.45,0.00,0.00
0,2310005,0.00,11.55,0.00,0.00
0,2400088,0.01,11.88,0.00,0.00
0,2129018,0.00,10.65,0.00,0.00
0,2552154,0.00,12.76,0.00,0.00
0,2522949,0.00,12.61,0.00,0.00
0,2391591,0.10,10.76,0.00,0.00
0,2285765,0.00,11.43,0.00,0.00
0,2366828,0.02,11.59,0.00,0.00
0,2343375,0.00,11.72,0.00,0.00
0,2148276,0.11,9.56,0.00,0.00
0,2278702,0.05,10.87,0.00,0.00
0,2110791,0.00,10.55,0.00,0.00
0,2308099,0.00,11.54,0.00,0.00
0,2497982,0.00,12.49,0.00,0.00
0,2378452,0.02,11.70,0.00,0.00
0,2498531,0.00,12.49,0.00,0.00
0,2133552,0.00,10.67,0.00,0.00
0,2215437,0.00,11.08,0.00,0.00
0,2584140,0.00,12.92,0.00,0.00
0,2208990,0.00,11.04,0.00,0.00
0,2393337,0.03,11.57,0.00,0.00
0,1054783,0.00,5.27,0.00,0.00
0,2156616,0.00,10.78,0.00,0.00
0,2324289,0.00,11.62,0.00,0.00
0,2413985,0.00,12.07,0.00,0.00
0,2109862,0.00,10.55,0.00,0.00
0,2549106,0.00,12.75,0.00,0.00
0,2256256,0.03,10.94,0.00,0.00
0,2253540,0.00,11.27,0.00,0.00
0,2446273,0.05,11.62,0.00,0.00
0,2190581,0.00,10.95,0.00,0.00
0,2405611,0.00,12.03,0.00,0.00
0,2355132,0.00,11.78,0.00,0.00
0,2186419,0.00,10.93,0.00,0.00
0,2335893,0.08,10.71,0.00,0.00
0,2535028,0.00,12.68,0.00,0.00
0,2252585,0.00,11.26,0.00,0.00
0,2484760,0.00,12.42,0.00,0.00
0,2384463,0.00,11.92,0.00,0.00
0,2333929,0.01,11.60,0.00,0.00
0,2234278,0.00,11.17,0.00,0.00
0,2589404,0.07,12.08,0.00,0.00
0,2099760,0.04,10.06,0.00,0.00
0,2333829,0.08,10.71,0.00,0.00
0,2441247,0.00,12.21,0.00,0.00
0,2550729,0.00,12.75,0.00,0.00
0,2130583,0.04,10.17,0.00,0.00
0,2148436,0.00,10.74,0.00,0.00
0,2525957,0.08,11.62,0.00,0.00
0,2195827,0.00,10.98,0.00,0.00
0,2298259,0.00,11.49,0.00,0.00
0,2170651,0.04,10.44,0.00,0.00
0,2547500,0.00,12.71,0.00,0.00
0,2363469,0.01,11.71,0.00,0.00
0,2334096,0.01,11.55,0.00,0.00
0,2277067,0.05,10.77,0.00,0.00
0,2369427,0.00,11.85,0.00,0.00
0,2508137,0.00,12.54,0.00,0.00
0,2136598,0.03,10.39,0.00,0.00
0,2533241,0.03,12.32,0.00,0.00
0,2323995,0.00,11.62,0.00,0.00
0,2111881,0.04,10.14,0.00,0.00
0,2442538,0.05,11.62,0.00,0.00
0,2408341,0.00,12.04,0.00,0.00
0,2129452,0.05,10.06,0.00,0.00
0,2097604,0.00,10.47,0.00,0.00
0,2576010,0.03,12.52,0.00,0.00
3,4956,0.00,0.02,0.00,0.00
0,2355864,0.00,11.73,0.00,0.00
0,2366764,0.00,11.83,0.00,0.00
0,2132601,0.00,10.66,0.00,0.00
0,2160733,0.00,10.80,0.00,0.00
0,2547382,0.00,12.74,0.00,0.00
0,2108763,0.01,10.45,0.00,0.00
0,2276134,0.00,11.38,0.00,0.00
0,2194772,0.05,10.47,0.00,0.00
0,2160422,0.00,10.80,0.00,0.00
0,2223815,0.04,10.69,0.00,0.00
0,2486669,0.10,11.20,0.00,0.00
0,2235255,0.00,11.18,0.00,0.00
0,2286260,0.00,11.43,0.00,0.00
0,2249914,0.00,11.24,0.00,0.00
0,2550996,0.01,12.58,0.00,0.00
0,2536368,0.06,11.96,0.00,0.00
0,2225893,0.00,11.13,0.00,0.00
0,2265459,0.00,11.33,0.00,0.00
0,2364232,0.06,11.10,0.00,0.00
0,2138390,0.00,10.69,0.00,0.00
0,2331544,0.01,11.50,0.00,0.00
0,2457436,0.01,12.14,0.00,0.00
0,2441247,0.02,11.93,0.00,0.00
0,2140140,0.00,10.67,19.51,1.86
0,2115554,0.03,10.29,19.51,1.86
0,2464015,0.00,12.32,19.51,1.86
0,2478435,0.00,12.39,19.51,1.86
0,2292943,0.00,11.46,19.51,1.86
0,2356978,0.00,11.78,19.51,1.86
0,2208664,0.01,10.96,19.51,1.86
0,2236960,0.00,11.18,19.51,1.86
0,2498902,0.00,12.49,19.51,1.86
0,2140263,0.00,10.70,19.51,1.86
0,2333950,0.00,11.67,19.51,1.86
0,2420074,0.03,11.78,19.51,1.86
0,2318760,0.09,10.50,19.51,1.86
0,2432599,0.05,11.52,19.51,1.86
0,2582017,0.00,12.91,19.51,1.86
0,2354315,0.06,11.09,19.51,1.86
0,2275670,0.00,11.38,19.51,1.86
0,2252669,0.03,10.89,19.51,1.86
0,2226505,0.00,11.13,19.51,1.86
0,2159241,0.00,10.80,19.51,1.86
0,2562381,0.00,12.81,19.51,1.86
0,2364235,0.03,11.45,19.51,1.86
0,545417,0.04,2.62,19.51,1.86
0,2114854,0.08,9.73,0.00,0.00
0,2299553,0.04,11.07,0.00,0.00
0,2614137,0.00,13.07,0.00,0.00
0,2234743,0.08,10.33,0.00,0.00
0,2221351,0.04,10.62,0.00,0.00
0,2458822,0.04,11.78,0.00,0.00
0,2285468,0.02,11.23,0.00,0.00
0,2389639,0.00,11.95,0.00,0.00
0,2183672,0.00,10.92,0.00,0.00
0,2358777,0.02,11.57,0.00,0.00
0,2267475,0.00,11.34,0.00,0.00
0,2248862,0.00,11.24,0.00,0.00
0,2243548,0.00,11.22,0.00,0.00
0,2587282,0.02,12.72,0.00,0.00
0,2442511,0.00,12.21,0.00,0.00
0,2458176,0.00,12.29,0.00,0.00
0,2564776,0.03,12.41,0.00,0.00
0,2462495,0.00,12.31,0.00,0.00
0,2486107,0.00,12.43,0.00,0.00
0,2267492,0.03,11.00,0.00,0.00
0,2604614,0.01,12.87,0.00,0.00
0,2436130,0.00,12.18,0.00,0.00
